FECHA,HORA,temperatura,humedad,presion,direccionviento,kmviento,NOMBRE
11072026,16,9.7,60,1018.5,290,11,COMODORO RI
11072026,17,9.2,60,1018.2,270,13,COMODORO RI
11072026,18,7.2,68,1018.1,270,9,COMODORO RI
11072026,19,5.7,72,1018.4,320,9,COMODORO RI
11072026,20,2.3,77,1018.4,290,11,COMODORO RI
11072026,21,1.5,86,1018.7,360,6,COMODORO RI
11072026,22,.7,87,1018.6,270,9,COMODORO RI
11072026,23,1.0,83,1018.2,290,11,COMODORO RI
11072026,6,12.6,86,1013.1,200,7,CONCORDIA A
11072026,7,11.8,93,1013.4,230,9,CONCORDIA A
11072026,8,11.6,92,1014.6,230,9,CONCORDIA A
11072026,9,10.8,92,1015.6,230,11,CONCORDIA A
11072026,10,12.8,84,1016.5,230,15,CONCORDIA A
11072026,11,15.2,71,1016.8,230,13,CONCORDIA A
11072026,12,17.2,60,1017.0,230,22,CONCORDIA A
11072026,13,18.1,57,1016.9,230,28,CONCORDIA A
11072026,14,18.0,61,1016.4,200,17,CONCORDIA A
11072026,15,18.2,60,1016.3,200,19,CONCORDIA A
11072026,16,18.1,61,1016.6,220,19,CONCORDIA A
11072026,17,16.0,70,1016.9,250,17,CONCORDIA A
11072026,18,13.6,82,1017.9,240,22,CONCORDIA A
11072026,19,13.4,80,1018.5,250,13,CONCORDIA A
11072026,20,12.7,86,1019.2,250,13,CONCORDIA A
11072026,21,12.1,88,1019.6,260,11,CONCORDIA A
11072026,0,5.2,90,1018.6,240,6,CORDOBA AER
11072026,1,5.0,88,1019.0,280,9,CORDOBA AER
11072026,2,4.8,88,1018.7,0,0,CORDOBA AER
11072026,3,5.2,88,1017.6,320,7,CORDOBA AER
11072026,4,4.4,85,1017.8,360,4,CORDOBA AER
11072026,5,3.6,90,1017.2,340,9,CORDOBA AER
11072026,6,2.3,95,1017.5,320,7,CORDOBA AER
11072026,7,2.3,95,1019.4,270,7,CORDOBA AER
11072026,8,1.6,95,1021.1,270,7,CORDOBA AER
11072026,9,4.2,97,1022.3,230,7,CORDOBA AER
11072026,10,5.5,97,1023.4,230,13,CORDOBA AER
11072026,11,5.6,97,1024.4,180,9,CORDOBA AER
11072026,12,6.6,94,1024.6,180,9,CORDOBA AER
11072026,13,6.3,84,1024.8,230,9,CORDOBA AER
11072026,14,8.6,83,1023.8,230,11,CORDOBA AER
11072026,15,9.7,79,1022.9,180,9,CORDOBA AER
11072026,16,10.7,73,1022.6,180,11,CORDOBA AER
11072026,17,11.3,70,1022.8,180,9,CORDOBA AER
11072026,18,10.4,74,1023.1,140,7,CORDOBA AER
11072026,19,6.9,86,1024.2,140,7,CORDOBA AER
11072026,20,5.5,90,1025.1,140,7,CORDOBA AER
11072026,21,6.4,90,1025.2,140,9,CORDOBA AER
11072026,22,6.9,87,1025.2,230,9,CORDOBA AER
11072026,23,7.0,86,1025.6,140,9,CORDOBA AER
11072026,6,6.6,93,1017.0,270,4,CORDOBA OBS
11072026,7,6.0,93,1018.1,250,4,CORDOBA OBS
11072026,8,5.6,93,1019.9,250,4,CORDOBA OBS
11072026,9,5.8,90,1021.2,210,6,CORDOBA OBS
11072026,10,5.5,97,1023.1,200,6,CORDOBA OBS
11072026,11,6.2,93,1024.2,190,6,CORDOBA OBS
11072026,12,7.4,89,1024.6,180,9,CORDOBA OBS
11072026,13,8.2,82,1024.3,200,6,CORDOBA OBS
11072026,14,9.6,78,1023.4,230,9,CORDOBA OBS
11072026,15,11.2,73,1022.3,180,6,CORDOBA OBS
11072026,16,13.4,65,1021.9,140,7,CORDOBA OBS
11072026,17,13.0,68,1022.2,140,7,CORDOBA OBS
11072026,18,11.6,74,1022.4,140,7,CORDOBA OBS
11072026,19,9.9,78,1023.2,140,9,CORDOBA OBS
11072026,20,8.5,83,1024.1,160,6,CORDOBA OBS
11072026,21,7.6,88,1024.6,180,4,CORDOBA OBS
11072026,6,6.2,95,1019.9,200,7,CORONEL SUA
11072026,7,6.3,97,1020.2,200,4,CORONEL SUA
11072026,8,6.1,97,1020.6,180,7,CORONEL SUA
11072026,9,6.3,97,1021.2,180,13,CORONEL SUA
11072026,10,7.0,92,1021.7,180,17,CORONEL SUA
11072026,11,8.2,86,1022.1,160,22,CORONEL SUA
11072026,12,9.0,84,1022.0,180,22,CORONEL SUA
11072026,15,10.1,75,1021.1,160,24,CORONEL SUA
11072026,21,4.0,89,1024.1,160,13,CORONEL SUA
11072026,0,18.7,96,1009.3,330,6,CORRIENTES
11072026,1,17.5,98,1009.1,200,4,CORRIENTES
11072026,2,17.3,96,1009.7,200,11,CORRIENTES
11072026,3,17.3,95,1009.6,200,15,CORRIENTES
11072026,4,17.1,95,1009.8,200,9,CORRIENTES
11072026,5,16.3,96,1010.3,220,11,CORRIENTES
11072026,6,16.0,96,1010.1,220,24,CORRIENTES
11072026,7,16.9,92,1011.1,220,11,CORRIENTES
11072026,8,16.9,90,1013.4,220,17,CORRIENTES
11072026,9,16.9,93,1013.6,200,13,CORRIENTES
