Ciudad;Fecha;Hora;clima;km;Tmax;Tmin;kmviento;viento;presion
 Laboulaye;28-abril-2026;07:00;Nublado;10 km;10.6;No se calcula; 72;Noroeste  3;999.3 
 Marcos Ju�rez;27-abril-2026;21:00;Algo nublado;20 km;6.3;4.4; 75;Norte  9;1004 
 Pilar Obs.;28-abril-2026;07:00;Parcialmente nublado;10 km;6.9;No se calcula; 87;Sur  3;977.3 
 R�o Cuarto;28-abril-2026;07:00;Nublado;15 km;9.9;7.8; 70;Oeste  14;967.2 
 Villa Dolores;27-abril-2026;21:00;Parcialmente nublado;30 km;9.8;8.2; 75;Sudeste  11;950.1 
 Villa Mar�a Del R�o Seco;27-abril-2026;21:00;Despejado;10 km;11.2;No se calcula; 72;Norte  3;977 
 Corrientes;28-abril-2026;07:00;Despejado;10 km;9.7;8.1; 93;Sur  11;1009.8 
 Ituzaing�;27-abril-2026;21:00;Despejado con neblina;3.0 km;12;No se calcula; 93;Calma;1009.4 
 Mercedes;27-abril-2026;21:00;Despejado;15 km;11;No se calcula; 66;Oeste  3;1006.5 
 Monte Caseros;28-abril-2026;07:00;Despejado con humo;10 km;4.6;2.8; 93;Sur  7;1013 
 Paso De Los Libres;28-abril-2026;07:00;Despejado con neblina;8 km;6;5.0; 95;Sur  5;1011 
 Concordia;28-abril-2026;07:00;Despejado;15 km;2.5;No se calcula; 96;Calma;1015.2 
 Gualeguaych�;28-abril-2026;07:00;Parcialmente nublado;15 km;5.7;4.7; 86;Norte  5;1015.7 
 Paran�;28-abril-2026;07:00;Algo nublado;15 km;6.6;No se calcula; 91;Calma;1009 
 Formosa;28-abril-2026;07:00;Despejado;20 km;10.7;No se calcula; 92;Sudeste  7;1009.8 
